threadview_response_info,threadview_response_body,threadview_response_body href,threadview_response_body_be src,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_link (2)
"垢版
|
0001 ジャストフェイスロック(ジパング) [ﾆﾀﾞ] 2025/11/26(水) 12:33:40.15","台湾の外務省にあたる外交部は台湾海峡で中国との衝突が起きた場合、日本が協力して台湾を防衛するかどうかは分からないとする分析内容を議会に報告しました。

　外交部は高市早苗総理大臣の台湾を巡る国会答弁の影響などについて、議会から分析を求められていました。

台湾メディアによりますと、外交部は24日の報告で、いわゆる「台湾有事」に関して日本政府は戦略的に曖昧（あいまい）な立場を維持していると指摘したうえで、日本政府の意思決定はアメリカの動向や日本の世論など、多くの要因の影響を受けると分析しました。

　そして、高市総理の答弁内容から直接、「日本が台湾を防衛する」と解釈するのは難しいという判断を示したということです。

https://news.tv-asah...icles/000468461.html",https://be.5ch.net/user/455679766,https://img.5ch.net/ico/araebi.gif,https://news.tv-asahi.co.jp/news_international/articles/000468461.html,https://news.tv-asah...icles/000468461.html,21,ID:jmX74zT30,,,,
"垢版
|
0002 ニーリフト(みかか) [CN] 2025/11/26(水) 12:34:49.64",じゃあなんで中国はキレてんの？,,,,,16,ID:ygv2uj1o0,,,,
"垢版
|
0003 ドラゴンスクリュー(茸) [CN] 2025/11/26(水) 12:35:31.07",チャイナ人に日本語の記事は難しいかな？,,,,,,ID:JB8L354w0,1,,,
"垢版
|
0004 膝靭帯固め(庭) [US] 2025/11/26(水) 12:36:07.94","普通はそう判断するわな
高市降ろしが目的だから
公明党離脱からようやっとる",,,,,,ID:WtJFasC40,,,,
"垢版
|
0005 ツームストンパイルドライバー(茸) [CN] 2025/11/26(水) 12:37:26.00",そう解釈した中国が意味不明といっていただければ,,,,,,ID:i8Q6oQdb0,,,,
"垢版
|
0006 ムーンサルトプレス(茸) [ES] 2025/11/26(水) 12:37:46.75",中国の反応が敏感すぎるよね,,,,,,ID:igujXOls0,,,,
"垢版
|
0007 32文ロケット砲(ジパング) [ﾆﾀﾞ] 2025/11/26(水) 12:37:53.93",">>2
朝日に騙されたから",,,,>>2,,ID:sUIJD+1V0,1,,,
"垢版
|
0008 ジャストフェイスロック(茸) [FR] 2025/11/26(水) 12:38:03.10","むしろ中国批判してるだろこれ
日本はそんなこと言ってないからちょっと落ち着けって話じゃないの",,,,,,ID:437TpggS0,1,,,
"垢版
|
0009 栓抜き攻撃(庭) [JP] 2025/11/26(水) 12:38:05.24","当たり前の話だろ
日米は当てにならないから自分で防衛するのが基本と言ってんだよ",,,,,,ID:JnT4a7V40,,,,
"垢版
|
0010 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 12:38:14.39",">>2
意味はないけどニュアンスはある言葉ってあるじゃん
中国に喧嘩を売るニュアンスはあった",,,,>>2,,ID:eWCN1Wu60(1/18),3,,,
"垢版
|
0011 ストマッククロー(東京都) [ﾆﾀﾞ] 2025/11/26(水) 12:39:13.11",">>1
今回の中共ヤクザの
日本や高市に対する言動は常軌を逸している
中共ヤクザが、真摯に誠意を持って
日本及び高市に謝罪しなければ
決して中共ヤクザを許してはならない",,,,>>1,,ID:Q5qS84il0,,,,
"垢版
|
0012 ローリングソバット(ジパング) [US] 2025/11/26(水) 12:39:20.89","> 日本が協力して台湾を防衛するかどうかは分からない

しないよ
米軍が参戦しなければ、独自でシーレーンを通る日本の船を護衛するだけ
米軍が参戦したら、集団的自衛権で憲法の範囲内の補給とかするけど",,,,,,ID:Zfm6MOw30,,,,
"垢版
|
0013 32文ロケット砲(茸) [GE] 2025/11/26(水) 12:39:35.87","台湾は中国と戦うつもりないでしょ
対話による解決模索してた

それを日本が勝手に有事と騒いで逆に中国の武力介入煽ってるんだから救われない",,,,,,ID:YbWf17sS0,1,,,
"垢版
|
0014 エルボードロップ(ジパング) [US] 2025/11/26(水) 12:39:42.13",パヨク「台湾外交部の言ってる意味が分からないニダ」,,,,,,ID:XmB5uUPD0,,,,
"垢版
|
0015 キチンシンク(東京都) [US] 2025/11/26(水) 12:43:02.36","解釈が「難しい」ってなんだ？
直接電話して聞きゃいいじゃん

「やるの？」「やらんの？」って
ハッキリせいや",,,,,,ID:J+Ecluda0(1/2),2,,,
"垢版
|
0016 河津掛け(ジパング) [CA] 2025/11/26(水) 12:43:35.03",">>7
アカヒ「準備してた内容を指示通り出しただけっす！」",,,,>>7,,ID:MocQkJOL0,,,,
"垢版
|
0017 ブラディサンデー(千葉県) [US] 2025/11/26(水) 12:43:54.42","高市が言ったのは米が出張って攻撃受けた場合だからな
勝手に拡大解釈した工作員が騒いでるだけなんだよ
あと首切る発言が責められるから逆ギレして誤魔化そうとしてるだけ",,,,,,ID:aeKFMn8z0(1/4),1,,,
"垢版
|
0018 キン肉バスター(ジパング) [GB] 2025/11/26(水) 12:43:54.96",">>2
朝日が台湾取ったら日本が攻撃するとデマ出したから",,,,>>2,,ID:RKa3+xzy0,,,,
"垢版
|
0019 ジャーマンスープレックス(みかか) [US] 2025/11/26(水) 12:43:55.16",">>10
シンプルに頭悪そう",,,,>>10,,ID:XK6mpjtO0,,,,
"垢版
|
0020 名無しさん＠涙目です。(群馬県) [GB] 2025/11/26(水) 12:44:07.47","外患誘致罪の壺市早苗は死刑　
　
　

　
　日本国民の敵は、国内にいる朝鮮壺カルト糞チョン政権　
　
　



495 ウィズコロナの名無しさん sage ▼ New! 2023/07/09(日) 21:42:47.48 ID:LVe9+o000 [15回目]
台湾と日本を1つの韓国にする
i.imgur.com/IIJe79n.jpg


マザームーン

508 ウィズコロナの名無しさん ▼ New! 2023/07/09(日) 21:45:07.62 ID:7TvA0Pan0 [2回目]
>>　495
完全にCIA→KCIAのパシリだよな
Twitterに出てたblck～って何て名前だっけ？
スタバみたいな所で「ウクライナ戦争嬉しい」と発言してたアメリカ人の組織名知りたい",,,,,,ID:5sWi31770,,,,
"垢版
|
0021 キチンシンク(東京都) [US] 2025/11/26(水) 12:44:26.55","つーかさ、台湾が独立した「主権国家」なのか主権国家じゃないのか

そこをハッキリせいよ

ビビってんじゃねーよ",,,,,,ID:J+Ecluda0(2/2),1,,,
"垢版
|
0022 ブラディサンデー(千葉県) [US] 2025/11/26(水) 12:44:47.53",">>10
お前もパヨクのニュアンス味あるじゃん",,,,>>10,,ID:aeKFMn8z0(2/4),1,,,
"垢版
|
0023 ツームストンパイルドライバー(ジパング) [US] 2025/11/26(水) 12:44:55.14",意味不明で混乱してるのはサヨクだけじゃね？,,,,,,ID:dD74PKjF0,,,,
"垢版
|
0024 トペ コンヒーロ(埼玉県) [KR] 2025/11/26(水) 12:45:29.93","高市総理の答弁内容から直接、「日本が台湾を防衛する」と解釈するのは難しいという判断を示したということです。

台湾人はアホな中国人と違って朝日新聞に騙されないw",,,,,,ID:VOvce/tf0,,,,
"垢版
|
0025 ドラゴンスクリュー(岐阜県) [US] 2025/11/26(水) 12:45:32.23","意味不明じゃねーよ
スレタイで捏造すんな",,,,,,ID:VhEWtPn10,,,,
"垢版
|
0026 ダイビングフットスタンプ(茸) [ID] 2025/11/26(水) 12:46:25.60",">>15
ちょっと前まで高市はっきり言い過ぎと批判していた奴らが居たのだが
まあ中国も反高市も朝日の見出し詐欺に騙されていたなら納得だが",,,,>>15,,ID:3bYa4c8j0,1,,,
"垢版
|
0027 レッドインク(東京都) [US] 2025/11/26(水) 12:47:16.58",">>10
パヨクと中共はニュアンスで外交するんだろうけど、一般人と先進国はロジックで外交するんだよ

土人と土人国家は黙ってような",,,,>>10,,ID:Jj1FZleL0,1,,,
"垢版
|
0028 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 12:47:26.51",">>22
お前はネトウヨのニュアンスか",,,,>>22,,ID:eWCN1Wu60(2/18),1,,,
"垢版
|
0029 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 12:49:04.43",">>27
ロジックが問題ないのに今後はこのような発言は控えるんだなぁ
変だなぁ",,,,>>27,,ID:eWCN1Wu60(3/18),1,,,
"垢版
|
0030 ローリングソバット(やわらか銀行) [US] 2025/11/26(水) 12:49:25.16",これは高市援護じゃろ,,,,,,ID:zlxsB5LB0,,,,
"垢版
|
0031 ブラディサンデー(千葉県) [US] 2025/11/26(水) 12:49:30.12",">>28
な、ニュアンスなんてこんくらい意味がない事言ってんだよ",,,,>>28,,ID:aeKFMn8z0(3/4),1,,,
"垢版
|
0032 ムーンサルトプレス(やわらか銀行) [JP] 2025/11/26(水) 12:50:08.08",">>13
この記事読んだら
全然違うだろ
馬鹿なの？歯がないの？ハゲなの？",,,,>>13,,ID:BEvk/Lmu0,,,,
"垢版
|
0033 頭突き(大阪府) [JP] 2025/11/26(水) 12:51:10.17","むしろ「中国の言ってる事は意味不明」と言っている記事だ
言葉が通じない首切り蛮族はこれだから困る",,,,,,ID:o23EE2gT0,,,,
"垢版
|
0034 ファイヤーバードスプラッシュ(庭) [RO] 2025/11/26(水) 12:52:05.43","中国も的外れなのはわかってるんだけど振り上げた拳を下ろすのが恥ずかしくて突っ走ってる
精神勝利を訴えるしか道は無いのだ",,,,,,ID:It+Ks6Ae0(1/2),,,,
"垢版
|
0035 超竜ボム(みょ) [US] 2025/11/26(水) 12:52:52.93","高市の発言に対する分析はただしいよ
発狂してるのがおかしい",,,,,,ID:McwA2ILZ0,,,,
"垢版
|
0036 バックドロップ(やわらか銀行) [DE] 2025/11/26(水) 12:53:01.41",どこも戦争したくないのに高市がアホ煽りしたから困ってるんだろ,,,,,,ID:OUkZhvy10,,,,
"垢版
|
0037 ミドルキック(やわらか銀行) [ﾆﾀﾞ] 2025/11/26(水) 12:53:41.00",">>1
中国共産党の息のかかった台湾高官もそこそこいるだろ",,,,>>1,,ID:KHCcBnLu0,,,,
"垢版
|
0038 キングコングニードロップ(福岡県) [JP] 2025/11/26(水) 12:54:49.40",日本をかばってくれてるのか　申し訳ない台湾さん,,,,,,ID:dWrRwDPq0,,,,
"垢版
|
0039 ダイビングフットスタンプ(福岡県) [UA] 2025/11/26(水) 12:55:31.79",">>2
意味不明なこと言って内政干渉するからだろ、馬鹿かお前",,,,>>2,,ID:3ILz02UD0,,,,
"垢版
|
0040 河津掛け(庭) [KR] 2025/11/26(水) 12:56:18.49",">>2
日本のメディアが騒いでるから要はマットポンプ",,,,>>2,,ID:2eCscpLT0,,,,
"垢版
|
0041 マシンガンチョップ(やわらか銀行) [US] 2025/11/26(水) 12:56:39.31","「日本は台湾を防衛しない」

これが台湾の見解です
コウモリ外交をした挙句どっちからも見捨てられて草",,,,,,ID:zC6zwBb80,1,,,
"垢版
|
0042 ネックハンギングツリー(ジパング) [US] 2025/11/26(水) 12:57:07.18","台湾を守るのはアメリカ
日本はアメリカのお手伝い",,,,,,ID:gB1VvnXF0,,,,
"垢版
|
0043 不知火(茸) [CZ] 2025/11/26(水) 12:57:13.08","そもそもの前提が間違っている
結果台湾の味方にはなるだろう
どう考えたって共産主義を援護することはあり得ない",,,,,,ID:xX2WY7+F0,,,,
"垢版
|
0044 河津掛け(茸) [JP] 2025/11/26(水) 12:57:31.94","いきなりキレた中カスがバカ丸出し
という事だな",,,,,,ID:+hiLFlsf0,,,,
"垢版
|
0045 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 12:57:51.05",">>31
便利な言葉じゃん
高市は多少具体的に言った
しかし多少しか具体的には言ってない
だからニュアンスなんだよ",,,,>>31,,ID:eWCN1Wu60(4/18),,,,
"垢版
|
0046 キン肉バスター(庭) [CN] 2025/11/26(水) 12:58:07.66",">>41
当たり前やん同盟国はアメリカであって台湾は国として承認してねぇんだから",,,,>>41,,ID:zB9e2g1N0,,,,
"垢版
|
0047 エクスプロイダー(兵庫県) [JP] 2025/11/26(水) 12:58:09.32",人の名前で喧嘩売る小者,,,,,,ID:Bsn4Rx5t0(1/2),,,,
"垢版
|
0048 ニールキック(茸) [MY] 2025/11/26(水) 12:58:18.15","結局今までどおり曖昧戦略取ってるってだけ
なんで中国やサヨクはあんなにキレてたの？",,,,,,ID:33wdo19I0(1/3),3,,,
"垢版
|
0049 ファイヤーバードスプラッシュ(庭) [RO] 2025/11/26(水) 12:59:47.73",">>48
中国は国内でクーデター起きてもおかしくもない経済状態だから抗日運動して支持率回復一致団結狙ったけど国内の国民に全く刺さってなくて焦ってる",,,,>>48,,ID:It+Ks6Ae0(2/2),,,,
"垢版
|
0050 TEKKAMAKI(やわらか銀行) [ﾆﾀﾞ] 2025/11/26(水) 12:59:50.17",缶の缶が速攻論破されていた件やん,,,,,,ID:Zcc9Pi/E0,,,,
"垢版
|
0051 ブラディサンデー(千葉県) [US] 2025/11/26(水) 12:59:56.79",">>48
脊髄反射と逆ギレ",,,,>>48,,ID:aeKFMn8z0(4/4),,,,
"垢版
|
0052 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:00:49.60",">>48
じゃなんで今までの総理と違う答弁をしたの？",,,,>>48,,ID:eWCN1Wu60(5/18),1,,,
"垢版
|
0053 フェイスクラッシャー(千葉県) [FR] 2025/11/26(水) 13:03:54.89","最後に助けると言ったな、アレは嘘だ
とは言ってないから大丈夫じゃない？w",,,,,,ID:EHO026wU0(1/2),,,,
"垢版
|
0054 リバースネックブリーカー(庭) [US] 2025/11/26(水) 13:03:55.46",">>1
日本語が理解できないなら日本語の掲示板なんて利用しようとすんなよバカタレが",,,,>>1,,ID:x6Hiyixg0,,,,
"垢版
|
0055 名無しさん＠涙目です。(ジパング) [CO] 2025/11/26(水) 13:03:58.80",中共が難癖つけてるだけってことがこれではっきりしたね,,,,,,ID:bmVkZy0M0,,,,
"垢版
|
0056 ファイヤーバードスプラッシュ(庭) [JP] 2025/11/26(水) 13:04:05.76",">>52
根掘り葉掘り岡田が粘着したからでしょ",,,,>>52,,ID:ZDz+B07g0(1/2),1,,,
"垢版
|
0057 トペ スイシーダ(ジパング) [DE] 2025/11/26(水) 13:04:33.95",意味不明なのにキレた習近平はクルクルパーってことになるけどそれでいいね？,,,,,,ID:IuKuDavT0,2,,,
"垢版
|
0058 フェイスクラッシャー(千葉県) [FR] 2025/11/26(水) 13:06:11.51",">>57
中国は全体的に頭がよろしくないのは確かw",,,,>>57,,ID:EHO026wU0(2/2),,,,
"垢版
|
0059 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:06:37.12",">>56
そんなに粘着してないよ
高市もあっさり答えてるから
実際の質疑見てみれば",,,,>>56,,ID:eWCN1Wu60(6/18),,,,
"垢版
|
0060 クロスヒールホールド(みかか) [DE] 2025/11/26(水) 13:07:03.47",">>1が理解できてないだけで草
戦略的に曖昧な立場を維持しているからはっきりしたことは言えないというだけ",,,,>>1,,ID:0AgpTesq0(1/3),,,,
"垢版
|
0061 バックドロップ(茸) [US] 2025/11/26(水) 13:07:41.13","中国だけ何故キレてるのかさっぱり解らんのよね
誰かが日本人も知らないフェイクニュースを中国に言っただけの可能性すら有る
日本には中国のスパイがいっぱい居るがそれが「日本は中国を侵略するらしい」とか言ったのかもしれない",,,,,,ID:pNJ197rL0,1,,,
"垢版
|
0062 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:07:56.68",">>57
それでいいけど、それで何か解決するんか？",,,,>>57,,ID:eWCN1Wu60(7/18),,,,
"垢版
|
0063 チェーン攻撃(みょ) [CN] 2025/11/26(水) 13:08:16.72","スレタイ考えた奴あったまわるいな
意味不明じゃなく状況を見るだろうつってんのに",,,,,,ID:ORrERyWg0,,,,
"垢版
|
0064 ストレッチプラム(兵庫県) [ﾆﾀﾞ] 2025/11/26(水) 13:08:24.21","最近はまずスレタイや記事の内容ではなく
どこのソースなのかを踏まえてから見るべき

これは朝日です",,,,,,ID:3A2zs9qC0,,,,
"垢版
|
0065 キングコングラリアット(新日本) [US] 2025/11/26(水) 13:08:41.14","そもそも台湾の為に日本が武力とかありえないから
高市さんが言ってたのはアメリカ軍が参戦した場合のことだし
どっちにしても後方支援だろ",,,,,,ID:1DzEL+xu0(1/2),,,,
"垢版
|
0066 ファイヤーバードスプラッシュ(光) [DE] 2025/11/26(水) 13:09:08.72",">>2
中国の内政問題に日本が軍事介入するて言うたら中国がキレるに決まってる
おまえはバカか？",,,,>>2,,ID:qeaJYDQj0,1,,,
"垢版
|
0067 ムーンサルトプレス(みょ) [BR] 2025/11/26(水) 13:09:52.58",中国が難癖を付けにきているという解釈でいい,,,,,,ID:S8wSevHo0(1/2),1,,,
"垢版
|
0068 キングコングラリアット(新日本) [US] 2025/11/26(水) 13:10:04.12",">>61
朝日新聞が誤報出したのはわかっている
それを見た大阪領事館が反応したのがきっかけかと
ちなみに朝日新聞はしれっと訂正済み",,,,>>61,,ID:1DzEL+xu0(2/2),,,,
"垢版
|
0069 オリンピック予選スラム(茸) [ﾆﾀﾞ] 2025/11/26(水) 13:10:48.18",>>1そら台湾守るんは台湾人自身やろ、こっちが訳判らんわ,,,,>>1,,ID:iAAPTvwJ0,,,,
"垢版
|
0070 クロスヒールホールド(みかか) [DE] 2025/11/26(水) 13:13:46.26","修正前朝日新聞タイトル「高市首相、台湾有事『存立危機事態になりうる』　認定なら武力行使も」
状況によっては日本が武力行使するかのように報じた
修正後は「高市首相、台湾有事『存立危機事態になりうる』　武力攻撃の発生時」
武力攻撃が行われたら存立危機事態になりうるというだけのタイトルに修正ｗ",,,,,,ID:0AgpTesq0(2/3),1,,,
"垢版
|
0071 ファイヤーバードスプラッシュ(庭) [JP] 2025/11/26(水) 13:14:11.61",">>67
中国国内ですら中国政府の自己欺瞞の精神勝利にしか見えないとか言われてるし中国政府も引けなくなってしまってる",,,,>>67,,ID:ZDz+B07g0(2/2),,,,
"垢版
|
0072 エクスプロイダー(みょ) [US] 2025/11/26(水) 13:14:29.36","そらまあ高市の発言から日本が単独で戦力出すなんて話じゃねえからな。
朝日の嘘見出しベースで語る連中は中国含めて支離滅裂ってこった。",,,,,,ID:i6vSR+Dd0(1/4),,,,
"垢版
|
0073 チキンウィングフェースロック(庭) [CN] 2025/11/26(水) 13:15:01.30","山尾志桜里が説明してたろ
あれ以上でも以下でもない
日本が台湾有事で軍事的に関わるのはいろんな条件が当てはまってその上さらに時の政権が決断した時だけ
条件が揃ってもやらない可能性もある
これを台湾は「分からない」といい中国は「関わるな」と吠えた
中国が大馬鹿なの
台湾はまっとう",,,,,,ID:3alaE7A40,,,,
"垢版
|
0074 急所攻撃(やわらか銀行) [GB] 2025/11/26(水) 13:16:05.38","イザとなったら不沈空母たる日本が台湾の女子供老人は受皿になるしな

東日本大震災の翌日に200億の義援金を授かった恩は忘れないですよ
一つの国だから",,,,,,ID:8UzuWEYj0,,,,
"垢版
|
0075 TEKKAMAKI(福岡県) [ﾆﾀﾞ] 2025/11/26(水) 13:16:22.93",はっきり言ったら怒られたから意味不明にしてるんじゃね,,,,,,ID:xm7dZKjQ0(1/2),1,,,
"垢版
|
0076 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:17:08.39",">>70
修正前もおかしくはないな
存立危機事態認定で武力行使しないのはありえないから当然のこと

修正した理由は知らんが",,,,>>70,,ID:eWCN1Wu60(8/18),2,,,
"垢版
|
0077 サッカーボールキック(ジパング) [CL] 2025/11/26(水) 13:17:14.13",つまりこれで勝手に戦争だと言ってパニクってるのはパヨと中国だけということだな,,,,,,ID:KjUvzY/F0,,,,
"垢版
|
0078 TEKKAMAKI(福岡県) [ﾆﾀﾞ] 2025/11/26(水) 13:17:48.51","岡田：中国が台湾攻めたらどうするん
高市：アメリカに協力しまっせ
岡田：こら！はっきり言うな",,,,,,ID:xm7dZKjQ0(2/2),1,,,
"垢版
|
0079 イス攻撃(京都府) [CN] 2025/11/26(水) 13:18:37.23",">>78
そんなこと言ってねぇw",,,,>>78,,ID:1YMECXuv0(1/3),,,,
"垢版
|
0080 キングコングニードロップ(東京都) [US] 2025/11/26(水) 13:19:30.19",">>76
修正した理由が説明できないって時点でお前は負けてるよ
そこに気づけ",,,,>>76,,ID:zh79Bwfo0,1,,,
"垢版
|
0081 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:19:45.99",">>75
台湾も火消しに協力してくれてるんだろうね",,,,>>75,,ID:eWCN1Wu60(9/18),,,,
"垢版
|
0082 クロスヒールホールド(みかか) [DE] 2025/11/26(水) 13:20:25.32",">>76
三要件満たさないと武力を行使する事態にはならないから存立危機事態イコールではない",,,,>>76,,ID:0AgpTesq0(3/3),1,,,
"垢版
|
0083 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:21:05.55",">>80
じゃ説明できるのかよ
なんで修正したのか",,,,>>80,,ID:eWCN1Wu60(10/18),,,,
"垢版
|
0084 トラースキック(愛知県) [DK] 2025/11/26(水) 13:21:29.49",そんなこと言ってないだろｗ,,,,,,ID:69aBoc4l0,,,,
"垢版
|
0085 ラ ケブラーダ(ジパング) [ﾆﾀﾞ] 2025/11/26(水) 13:22:18.15",">>1
>高市総理の答弁内容から直接、
> 「日本が台湾を防衛する」と解釈するのは難しいという判断を示した

今回の高市の発言から、いま騒がれてるような解釈をするのは難しいって意味だから、
要は「中国は頭おかしいのか？」って事だろwww",,,,>>1,,ID:dk2l0KYv0(1/2),1,,,
"垢版
|
0086 アトミックドロップ(ジパング) [IT] 2025/11/26(水) 13:23:26.49",台湾「などと意味不明であり動機は不明です」,,,,,,ID:+awyeHQ20,,,,
"垢版
|
0087 名無しさん＠涙目です。(庭) [US] 2025/11/26(水) 13:23:27.13",">>85
台湾を防衛にはならない、
これはさすが台湾良く分かってるよね",,,,>>85,,ID:006Th+HU0(1/2),1,,,
"垢版
|
0088 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:23:45.75",">>82
そうだね
まぁ政治的にはイコールだろうが",,,,>>82,,ID:eWCN1Wu60(11/18),,,,
"垢版
|
0089 リバースパワースラム(大阪府) [US] 2025/11/26(水) 13:24:34.68","高市が低脳だから誰が誰にどうしたらとか言えてないだろ。
頭が論理的でないんだろうな。",,,,,,ID:HgXs2u2a0,,,,
"垢版
|
0090 フライングニールキック(庭) [US] 2025/11/26(水) 13:24:38.35",最初からそう答弁してるんだぞ,,,,,,ID:qkQgCXAI0,,,,
"垢版
|
0091 トペ スイシーダ(庭) [US] 2025/11/26(水) 13:24:58.80",">>2
毎度のことながら中国の「キレる」はリアクションとか結果じゃなくて、日本を揺さぶって有利を得るための手段だから、そこは「なぜ」ではつながらんのよ

日本の野党が政権にいつもキレてんのと同じだ",,,,>>2,,ID:ulxcC7Dm0,,,,
"垢版
|
0092 イス攻撃(庭) [DE] 2025/11/26(水) 13:25:14.62","高市は一言も台湾とは言わず曖昧な答弁ばかり言ってたのに
岡田が台湾台湾と連呼して朝日新聞は「武力行使！」なんていうイエロージャーナリズム丸出しな挑発的なタイトルをXに投稿して
その朝日新聞のX投稿を引用して薛剣駐大阪総領事が「斬首してやる」と反応するに至っている
誰が火を点けてんのか言うまでもない",,,,,,ID:Q7Dm9P1e0(1/2),1,,,
"垢版
|
0093 ラ ケブラーダ(ジパング) [ﾆﾀﾞ] 2025/11/26(水) 13:25:38.23",">>87
中国と違って有能な人材の集まりだからw",,,,>>87,,ID:dk2l0KYv0(2/2),,,,
"垢版
|
0094 目潰し(愛知県) [BR] 2025/11/26(水) 13:25:54.36","そもそも台湾を助けに行った密接な国(アメリカ等)が攻撃された時なんだよね
台湾を攻撃されただけでは自衛隊は出ない",,,,,,ID:UymDS/GV0,1,,,
"垢版
|
0095 ファイナルカット(庭) [IT] 2025/11/26(水) 13:30:19.71",スレ立てしてるやつって日本語わかってない？,,,,,,ID:triEc1KX0,,,,
"垢版
|
0096 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:30:40.39",">>92
火がつくと分かってるなら答えるなよ
質問した人がいて、答えた人がいて、質問した人のせいにする思考回路は本当に分からん",,,,>>92,,ID:eWCN1Wu60(12/18),1,,,
"垢版
|
0097 垂直落下式DDT(庭) [JP] 2025/11/26(水) 13:31:05.72",">>94
日本は戦争できない
これが9条だから全部アメリカ次第",,,,>>94,,ID:+nEupWiN0,,,,
"垢版
|
0098 スパイダージャーマン(石川県) [GE] 2025/11/26(水) 13:31:07.53",日本人の俺もわからないから,,,,,,ID:ffaS0va90,,,,
"垢版
|
0099 ダブルニードロップ(京都府) [BR] 2025/11/26(水) 13:31:34.08","トランプ高市との異例の電話会談わずか25分だけ通訳入れたら実質10分程度。やはり一方的にぶちまけ怒りのガチャ切りだった模様 [709039863]
https://greta.5ch.ne.../poverty/1764129291/",,,https://greta.5ch.net/test/read.cgi/poverty/1764129291/,https://greta.5ch.ne.../poverty/1764129291/,,ID:EtPfsOUh0,,,,
"垢版
|
0100 16文キック(長野県) [US] 2025/11/26(水) 13:33:17.83","台湾からも
見放されたら
何の為だったの…",,,,,,ID:IpAoOI4W0,2,,,
"垢版
|
0101 キングコングラリアット(神奈川県) [ﾆﾀﾞ] 2025/11/26(水) 13:35:09.18",意味不明とあいまいはかなり意味が違うだろ,,,,,,ID:8iNwOTLY0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0102 イス攻撃(庭) [DE] 2025/11/26(水) 13:36:30.22",">>96
日本のマスコミがここまでイエロージャーナリズムに染まって
そのイエロージャーナリズムにまんまと引っかかって斬首してやるなんて言ってくる総領事がいることなんて誰も想像できないだろ",,,,>>96,,ID:Q7Dm9P1e0(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0103 アンクルホールド(東京都) [US] 2025/11/26(水) 13:37:20.70",">>29
馬鹿がいきなり発狂して面倒臭いからな",,,,>>29,,ID:0feRn2Kq0,1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0104 エクスプロイダー(茸) [FR] 2025/11/26(水) 13:39:47.67","事後対処法が定義する「存立危機事態」とは、
わが国と密接な関係にある他国に対する武力攻撃が発生し、これによりわが国の存立が脅かされ、国民の生命、自由及び幸福追求の権利が根底から覆される明白な危険がある事態で

高市早苗は

台湾有事がエスカレートして

わが国と密接な関係にある他国に対する武力攻撃が発生し、これによりわが国の存立が脅かされ、国民の生命、自由及び幸福追求の権利が根底から覆される明白な危険がある事態だと政府が総合的に判断すれば存立危機事態です

って言っただけ

法律を読んだだけじゃねーかって話なんだがｗ",,,,,,ID:eQMjiZPI0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0105 スパイダージャーマン(庭) [CN] 2025/11/26(水) 13:40:23.08",＼(^o^)／ｵﾜﾀ,,,,,,ID:aMcRyHVy0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0106 稲妻レッグラリアット(庭) [EU] 2025/11/26(水) 13:41:02.70","最初からそう言ってるじゃん
戦争と揉め事だいすき朝日新聞が理解力ないアホを釣るのに煽りたててまんまと釣られた中国外交官が首きる発言しちゃってさ",,,,,,ID:x/VYV4rw0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0107 ウエスタンラリアット(兵庫県) [US] 2025/11/26(水) 13:41:25.19",">>100
カスウヨの歓心を買う為だYo!",,,,>>100,,ID:xu2OEgAs0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
