threadview_response_info,threadview_response_body,threadview_response_body href,threadview_response_body_be src,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_link (2)
"垢版
|
0108 アキレス腱固め(庭) [US] 2025/11/26(水) 13:41:29.34",">>100
これで「見放された」って
読んじゃうとは
中々残念な読解力…",,,,>>100,,ID:+i+H4YfA0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0109 超竜ボム(ジパング) [JP] 2025/11/26(水) 13:42:30.92","日本に台湾を守る能力は無いしな
あくまでも米軍を支えるだけ",,,,,,ID:rca9cMKs0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0110 トペ スイシーダ(庭) [TW] 2025/11/26(水) 13:42:57.41",そもそも台湾が中華民国の名前捨てて大陸の領土の主張やめないんだから解決しない,,,,,,ID:4d5iel3j0(1/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0111 パロスペシャル(庭) [BR] 2025/11/26(水) 13:43:20.58",">>3
ていうか朝日新聞が武力介入する的な誤報やって、問題ななってからサイレント修正したとか見たよ",,,,>>3,,ID:/FzgLlmG0,1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0112 ナガタロックII(神奈川県) [IE] 2025/11/26(水) 13:45:56.61",朝日の記事のせい,,,,,,ID:y3/glAja0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0113 ジャンピングエルボーアタック(庭) [US] 2025/11/26(水) 13:47:35.55","最初から台湾に加勢するとは言ってない
自衛するだけ",,,,,,ID:ebQlJ1Mn0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0114 ドラゴンスリーパー(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:47:38.58",">>1
お前の脳内が意味不明",,,,>>1,,ID:codJ2d0u0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0115 ドラゴンスープレックス(北海道) [CA] 2025/11/26(水) 13:47:59.82",そもそも同盟関係でもない台湾相手に集団的自衛権は行使できない,,,,,,ID:igNv6pRH0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0116 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:48:42.42",">>111
誤報？
存立危機事態なのに集団的自衛権行使しないのか？

なんかもう朝日新聞の方がまともだな",,,,>>111,,ID:eWCN1Wu60(13/18),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0117 アイアンクロー(やわらか銀行) [JP] 2025/11/26(水) 13:48:49.55","台湾のほうがよっぽど客観的に分析できてるな
別に、台湾攻撃したら許さん日本が武力で守る！なんて言ってないからな",,,,,,ID:cFyMR+yj0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0118 マスク剥ぎ(ジパング) [ﾆﾀﾞ] 2025/11/26(水) 13:49:01.85","普通に解釈すればこの結論になる
首を切るとか言い出した総領事の頭がおかしいだけ",,,,,,ID:NbGHGw7O0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0119 レッドインク(新日本) [US] 2025/11/26(水) 13:49:48.04","バカ市だからしゃーない
つい言い過ぎたアホ
ぴょんぴょんクネクネニヤニヤキョロキョロ壺謝ったら死ぬおばさん",,,,,,ID:Ak6Yd2Tu0,3,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0120 キングコングニードロップ(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:52:22.68",切り取り記事を判断材料にすんなて,,,,,,ID:1f90r6Cw0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0121 ビッグブーツ(東京都) [ﾆﾀﾞ] 2025/11/26(水) 13:52:47.80",中国　日本観光自粛　静かに成りました有難う,,,,,,ID:AA/JrIgf0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0122 イス攻撃(京都府) [CN] 2025/11/26(水) 13:52:58.26",">>116
誤報だよ
存立危機自体＝武力行使じゃない",,,,>>116,,ID:1YMECXuv0(2/3),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0123 イス攻撃(京都府) [CN] 2025/11/26(水) 13:53:45.19",">>119
スレタイしか見てないバカ",,,,>>119,,ID:1YMECXuv0(3/3),2,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0124 河津掛け(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:54:10.12","台湾としても迷惑な話だよな
自衛隊が武力介入するとか言われても困るだろw",,,,,,ID:Mikioqcf0(1/2),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0125 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 13:54:30.11",">>122
朝日はイコールと報じてない
誤報というのがデマ",,,,>>122,,ID:eWCN1Wu60(14/18),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0126 トペ スイシーダ(庭) [TW] 2025/11/26(水) 13:55:31.17",">>124
はっきりと助けると明言してくれという記事だがな",,,,>>124,,ID:4d5iel3j0(2/2),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0127 エメラルドフロウジョン(庭) [CN] 2025/11/26(水) 13:56:34.95",中国から日本への「水産物の輸入停止」をめぐり、外務省内部に、共同通信の報道への不信感や反発が渦巻いていることが「週刊文春」の取材で分かった。,,,,,,ID:nIrBpF/w0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0128 ダイビングエルボードロップ(みかか) [EU] 2025/11/26(水) 13:59:44.45",キレてる中国人がアホ,,,,,,ID:Bcvi8D9T0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0129 エクスプロイダー(みょ) [US] 2025/11/26(水) 14:02:22.48",">>123
セッケンの陥った罠の実例になってくれてんだから赤くしてあげねえとだな。
なあ>>119よ。",,,,>>119,,ID:i6vSR+Dd0(2/4),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,>>123
"垢版
|
0130 TEKKAMAKI(庭) [ﾆﾀﾞ] 2025/11/26(水) 14:02:32.26","パヨは本気で朝日の最初の見出しと中国大使の発狂だけしか見てなかった可能性あるな
そして情報書き換え機能もないw",,,,,,ID:wjgQk3VZ0,1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0131 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 14:05:38.82",">>130
朝日の見出しのどこが問題？",,,,>>130,,ID:eWCN1Wu60(15/18),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0132 マスク剥ぎ(千葉県) [FI] 2025/11/26(水) 14:05:53.17",中国はtiktokのショート動画メインで対外政策決めてんのかね？,,,,,,ID:j8GMtFVy0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0133 河津掛け(庭) [ﾆﾀﾞ] 2025/11/26(水) 14:07:31.16",">>126
存立危機事態て台湾を守んじゃなくて、日本を守るのが目的だからな",,,,>>126,,ID:Mikioqcf0(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0134 フェイスロック(みょ) [US] 2025/11/26(水) 14:08:14.28",ネトウヨ脱糞,,,,,,ID:m+rXpR9v0(1/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0135 トペ スイシーダ(茸) [US] 2025/11/26(水) 14:09:10.69",">>8
バカが読むとスレタイになる",,,,>>8,,ID:EmJ/MdVQ0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0136 エクスプロイダー(みょ) [US] 2025/11/26(水) 14:09:31.05",">>131
「日本が武力行使」するニュアンスだな。まあパヨチン煽動ヘッドラインに憤青が引っかかったわけだｗ",,,,>>131,,ID:i6vSR+Dd0(3/4),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0137 エメラルドフロウジョン(東京都) [HK] 2025/11/26(水) 14:10:58.89",中国が三流国と言うことだけは分かった。,,,,,,ID:rvj1CxBR0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0138 フェイスロック(みょ) [US] 2025/11/26(水) 14:11:41.27",どっちもシナチクだからｗ,,,,,,ID:m+rXpR9v0(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0139 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 14:12:52.47",">>136
存立危機事態認定したら武力行使するに決まってんじゃん
どの部分が煽動なんだよ",,,,>>136,,ID:eWCN1Wu60(16/18),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0140 フライングニールキック(みかか) [US] 2025/11/26(水) 14:13:18.38",">>2
中共のプレイを数ターン遅らせる予防的一手だからだろう",,,,>>2,,ID:f91igsmD0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0141 ダブルニードロップ(茨城県) [ﾆﾀﾞ] 2025/11/26(水) 14:13:25.55",あくまで米軍が参戦した場合に集団的自衛権行使すると言うだけの話,,,,,,ID:WXy2S+g80,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0142 イス攻撃(やわらか銀行) [BR] 2025/11/26(水) 14:13:26.04",ネトウヨの言ってることも意味不明,,,,,,ID:5hcVa/WA0,1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0143 エクスプロイダー(みょ) [US] 2025/11/26(水) 14:19:55.01","「中国の」武力行使ってのを高市が使ったら応答で岡田が「日本が」武力行使に付け替えちまった。朝日はそれ拾ったんだな。
そして総領事が釣れてご覧の有様だｗ",,,,,,ID:i6vSR+Dd0(4/4),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0144 ジャストフェイスロック(ジパング) [US] 2025/11/26(水) 14:20:25.20",">>17
そんなことは一言もいってない",,,,>>17,,ID:khSbqyzF0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0145 ダイビングエルボードロップ(兵庫県) [ﾆﾀﾞ] 2025/11/26(水) 14:21:51.02",つまり中国が超バカってこと,,,,,,ID:LAJ7NrNU0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0146 不知火(庭) [ﾆﾀﾞ] 2025/11/26(水) 14:22:37.93",まーたスレマイ・タイ誘導,,,,,,ID:RLBsbLpq0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0147 グロリア(庭) [US] 2025/11/26(水) 14:23:16.16",>>1のどこをどう読んだら「高市の言ってることは意味不明」というスレタイなるのか、まさに意味不明,,,,>>1,,ID:U5IIxav40,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0148 キドクラッチ(茸) [US] 2025/11/26(水) 14:23:21.40",">>142
これまで誰からも理解されず、ずっと生きづらい人生送って来たんだろうね
れいわ共産社民に行けばおともだちがいっぱい出来るよ",,,,>>142,,ID:W3mRcRZS0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0149 フランケンシュタイナー(ジパング) [TW] 2025/11/26(水) 14:24:06.98",これ台湾外交部がこう言ってるから中国に一切関与しないっていえるじゃん,,,,,,ID:zCxfRcoO0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0150 頭突き(茸) [US] 2025/11/26(水) 14:26:32.82","そりゃ高市は台湾で米中が戦争になったら米に援軍送るってんだから
直接台湾を助けるったわけじゃないからな
そろそろ台湾と結んでウイグルチベットモンゴルと結んで中凶包囲網を作るべき
満州族はもうあてにならんかな",,,,,,ID:zSe6J1R30,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0151 ファイナルカット(庭) [ﾆﾀﾞ] 2025/11/26(水) 14:26:37.62",日本近郊で中国が米軍を攻撃したらと言う話なんだがw,,,,,,ID:pJWj0uWR0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0152 ムーンサルトプレス(茸) [CN] 2025/11/26(水) 14:27:53.51",">>21
独立はしてない。一つの中国との建前は台湾も同じ。",,,,>>21,,ID:++Yzsyu00,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0153 ネックハンギングツリー(みかか) [ﾆﾀﾞ] 2025/11/26(水) 14:29:41.25","またソース先が朝日新聞か
こいつら捏造大好き反日だから読む気が失せる",,,,,,ID:7ECycHBe0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0154 ドラゴンスープレックス(茸) [ﾆﾀﾞ] 2025/11/26(水) 14:31:18.20","意訳
台湾｢日本が直接介入するって解釈にはならないんすけどなんで中国キレてんすか(笑)｣",,,,,,ID:6mlCVH9N0,1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0155 ジャンピングエルボーアタック(神奈川県) [JP] 2025/11/26(水) 14:32:00.68",">>154
これな",,,,>>154,,ID:rjNOw+cE0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0156 パイルドライバー(庭) [ﾇｺ] 2025/11/26(水) 14:32:44.92","いや誰も台湾を守るなんて言ってねえよ
日本の危機だって言ってるだけ",,,,,,ID:j9Anqv7Y0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0157 ブラディサンデー(茸) [ﾆﾀﾞ] 2025/11/26(水) 14:32:49.13",">>1
ソース読めないのにスレ立てした馬鹿",,,,>>1,,ID:gzqH5Lvd0(1/4),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0158 名無しさん＠涙目です。(兵庫県) [ES] 2025/11/26(水) 14:34:29.65",">>2
高いちをやめさせたいんだろ
公明党の連立離脱から もう 定まっている路線",,,,>>2,,ID:fEPCVn9i0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0159 かかと落とし(神奈川県) [US] 2025/11/26(水) 14:35:10.15",">>2
そもそも高市が気に食わないから
きっかけを探してただけ",,,,>>2,,ID:Msg8eZ850,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0160 16文キック(庭) [CA] 2025/11/26(水) 14:37:00.59","台湾は最大限身を呈して気を遣った発言なんだろうな
あえて余計なことも言わないしなんていい国なんだ",,,,,,ID:eecEV3kG0,1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0161 エクスプロイダー(庭) [US] 2025/11/26(水) 14:37:01.30","トランプからハシゴ外され
台湾からハシゴ外され
EUからハシゴ外され
オーストラリアから外され
ミャンマーから外され

高市は一体いくつハシゴ持ってんだよwww",,,,,,ID:xBTOcxT20,1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0162 ストマッククロー(東京都) [ﾆﾀﾞ] 2025/11/26(水) 14:38:43.91",">>1
今回の中共ヤクザの
日本や高市に対する言動は常軌を逸している
中共ヤクザが、真摯に誠意を持って
日本及び高市に謝罪しなければ
決して中共ヤクザを許してはならない",,,,>>1,,ID:GvEMEnyJ0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0163 トペ コンヒーロ(茸) [CN] 2025/11/26(水) 14:38:46.04",">>1
お前がバカだということはよくわかった",,,,>>1,,ID:PdStU7Ir0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0164 サソリ固め(庭) [ﾆﾀﾞ] 2025/11/26(水) 14:40:08.95","お前らさ
Xでこれだけ外国から対立煽りする工作あるって判明したのにまだこういう対立煽りスレでマジレスしてんの？
学習能力ないって致命的欠陥やんけ
ネットやんな無能ども",,,,,,ID:CmhCGqRW0(1/2),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0165 タイガードライバー(大阪府) [JP] 2025/11/26(水) 14:42:44.26",">>1
↑
スレタイで記事内容を捻じ曲げてるんで五毛決定
コイツを永久追放しろ",,,,>>1,,ID:foXk+5aB0(1/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0166 タイガードライバー(大阪府) [JP] 2025/11/26(水) 14:43:27.05",">>161
それぜんぶ中国の敵やん
認知歪みすぎやろ

オマエには脳みそと目あるの？w",,,,>>161,,ID:foXk+5aB0(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0167 アイアンクロー(茸) [NL] 2025/11/26(水) 14:44:39.58",">>1
台湾外交部は高市の発言を理解してるだろw",,,,>>1,,ID:57+cRPK+0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0168 ミドルキック(庭) [ﾆﾀﾞ] 2025/11/26(水) 14:52:13.36",">>164
つ鏡",,,,>>164,,ID:ydp+ARiX0,1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0169 ダイビングエルボードロップ(庭) [GB] 2025/11/26(水) 14:53:14.76","でしょでしょ
日本国民もみんな高市の言ってることなんか意味不明で全く理解できないんですよ
あれは極右が起こしがちな発作みたいなものです",,,,,,ID:Uc/PAqOb0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0170 ファルコンアロー(愛知県) [DE] 2025/11/26(水) 14:54:26.75",共通の敵を思い出させ1つの中国になるチャンスを与えられたな,,,,,,ID:Eckou/mZ0(1/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0171 魔神風車固め(ジパング) [ﾆﾀﾞ] 2025/11/26(水) 14:55:00.92",確かに国と認めてるか認めてないかまずそこから始まる問題だからな,,,,,,ID:YMBa/1g20,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0172 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 14:55:19.51",">>160
台湾も緊張をエスカレートさせたくはないしな",,,,>>160,,ID:eWCN1Wu60(17/18),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0173 スターダストプレス(神奈川県) [ﾆﾀﾞ] 2025/11/26(水) 14:57:33.48",">>2
中国が北方領土に言及したら日本キレるだろ
それと同じ",,,,>>2,,ID:rdxy9hBS0,3,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0174 チキンウィングフェースロック(東京都) [ﾆﾀﾞ] 2025/11/26(水) 14:58:30.13","スレ立て人、
あまりにも５チャンネルの人間の知能をバカにしすぎｗ",,,,,,ID:aasuIidA0(1/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0175 ブラディサンデー(茸) [ﾆﾀﾞ] 2025/11/26(水) 14:59:31.64",">>173
抗議はしても
習近平の首を斬るなんて殺害予告は普通しないし、外交官がそんな発言勝手にしたら本国召還して処罰するけど？",,,,>>173,,ID:gzqH5Lvd0(2/4),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0176 チキンウィングフェースロック(東京都) [ﾆﾀﾞ] 2025/11/26(水) 15:01:18.63","高市は台湾を守るとは言ってない
台湾の有事に介入した米軍を助ける可能性があると言っただけ
というかその法律がそうなっている",,,,,,ID:aasuIidA0(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0177 ニールキック(茸) [MY] 2025/11/26(水) 15:04:25.01",">>173
日本が北方領土奪回のためにロシアと戦闘行為になった場合
中国の法律ではロシアに協力する可能性があると言ったとして
日本人はアホかとは思っても怒りはしないよ",,,,>>173,,ID:33wdo19I0(2/3),1,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0178 ジャンピングDDT(やわらか銀行) [US] 2025/11/26(水) 15:09:59.88",支那による工作が日本の比じゃないレベルで酷い台湾,,,,,,ID:D41QfBR30,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0179 イス攻撃(庭) [ﾆﾀﾞ] 2025/11/26(水) 15:10:12.94",ジャスコの前提からしておかしいからな,,,,,,ID:8TthbKuW0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0180 腕ひしぎ十字固め(庭) [US] 2025/11/26(水) 15:10:25.02",">>2
高市だと都合悪いから

なお「俺が連立降りたら困るやろなあ高市降ろし始まるやろなあ」と自爆した公明党と同様
「中国がキレしたら日本人困るやろなあ高市降ろし始まるやろなあ」との期待とは裏腹の結果となって
どこもかしこも発狂しとる",,,,>>2,,ID:Dz9EORFA0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0181 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 15:11:25.34",">>177
状況が全く違うだろ
中国は台湾統一を明言、武力行使も否定してない、やる気満々
高市は「中国がもしやったら…」と喧嘩を売った",,,,>>177,,ID:eWCN1Wu60(18/18),2,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
"垢版
|
0182 スパイダージャーマン(兵庫県) [JP] 2025/11/26(水) 15:11:49.45",高市は精神疾患だったって事で何とか穏便に済まないかな,,,,,,ID:Bsn4Rx5t0(2/2),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0183 ボ ラギノール(ジパング) [US] 2025/11/26(水) 15:11:58.69",">>123
薛剣、タイトルに騙されてまたイキってんのかw",,,,,,ID:E0nQ7nxm0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,>>123
"垢版
|
0184 かかと落とし(岐阜県) [US] 2025/11/26(水) 15:12:37.21",いや日本有事なんだから直接防衛するだろ,,,,,,ID:X1GsBXiJ0(1/5),,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0185 キングコングニードロップ(やわらか銀行) [ES] 2025/11/26(水) 15:15:56.38",狐憑きの高市を徐霊しないかんね,,,,,,ID:DZGmW7Ly0,,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,,
"垢版
|
0186 ドラゴンスープレックス(やわらか銀行) [GB] 2025/11/26(水) 15:16:21.71",台湾は関係ないからな 尖閣 に来そうだから防衛するって言ってるだけで,,,,,,ID:8SNnmFgn0,2,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,https://itest.5ch.net/hayabusa9/test/read.cgi/news/1764128020#,
